0d
time=1486833659, type=1, code=69, value=458879
time=1486833659, type=1, code=74, value=458879
time=1486841341, type=1, code=69, value=458879
-u
time=1486341631, type=1, code=74, value=458879
time=1486341631, type=1, code=69, value=458879
time=1486349822, type=1, code=69, value=458879
+d
time=1486354014, type=1, code=78, value=458879
time=1486841739, type=1, code=78, value=458879
time=1486832575, type=1, code=78, value=458879
time=1486872557, type=1, code=78, value=458879
time=1486847561, type=1, code=78, value=458879
time=1486871178, type=1, code=78, value=458879
time=1486845640, type=1, code=78, value=458879
time=1486836489, type=1, code=78, value=458879
time=1486876494, type=1, code=78, value=458879
time=1486834573, type=1, code=78, value=458879
time=1486874572, type=1, code=78, value=458879
time=1486864910, type=1, code=78, value=458879
time=1486839368, type=1, code=78, value=458879
time=1486322255, type=1, code=78, value=458879
time=1486313087, type=1, code=78, value=458879
time=1486353101, type=1, code=78, value=458879
time=1486311177, type=1, code=78, value=458879
time=1486351183, type=1, code=78, value=458879
time=1486341999, type=1, code=78, value=458879
time=1486316491, type=1, code=78, value=458879
time=1486355981, type=1, code=78, value=458879
time=1486314057, type=1, code=78, value=458879
time=1486354061, type=1, code=78, value=458879
time=1486344911, type=1, code=78, value=458879
time=1486319359, type=1, code=78, value=458879
time=1486342987, type=1, code=78, value=458879
time=1486841741, type=1, code=78, value=458879
time=1486832589, type=1, code=78, value=458879
time=1486873101, type=1, code=78, value=458879
time=1486847561, type=1, code=78, value=458879
time=1486871183, type=1, code=78, value=458879
time=1486845661, type=1, code=78, value=458879
time=1486836495, type=1, code=78, value=458879
time=1486876477, type=1, code=78, value=458879
time=1486834559, type=1, code=78, value=458879
time=1486874553, type=1, code=78, value=458879
time=1486865405, type=1, code=78, value=458879
time=1486839355, type=1, code=78, value=458879
time=1486322250, type=1, code=78, value=458879
time=1486313087, type=1, code=78, value=458879
time=1486353099, type=1, code=78, value=458879
time=1486311183, type=1, code=78, value=458879
time=1486351179, type=1, code=78, value=458879
